,dtype,missing_%,unique_values
division,object,100.0,0
financing_type_normalized,object,99.60115015665649,28
headcount,float64,98.99594867788365,698
financing_type,object,98.30875423858501,1210
vulnerability,object,97.98625933294136,9657
assets,object,97.47384360124681,10145
event,object,97.00878726129014,15277
award,object,96.94161424647825,16536
recognition,object,95.95624894287073,22237
amount_normalized,float64,93.22631829055148,8246
amount,object,93.22567394508566,11112
job_title,object,88.54015480399816,33591
contact,object,85.77897339658658,72593
location,object,72.54121797401677,13642
product,object,64.42600900472787,203976
effective_date,object,60.27771289576906,5562
company_id,object,2.3789234598129787,93622
confidence,float64,0.0012886909316430005,10001
location_data,object,0.0,8236
id,object,0.0,612910
product_tags,object,0.0,580
product_data,object,0.0,205690
source_id,object,0.0,577277
summary,object,0.0,603796
job_title_tags,object,0.0,1039
financing_type_tags,object,0.0,34
category,object,0.0,29
assets_tags,object,0.0,156
planning,bool,0.0,2
human_approved,bool,0.0,2
article_sentence,object,0.0,589468
found_at,datetime64[ns],0.0,384036
year_month,period[M],0.0,187
